time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-02-27T01:10:14.000Z,58.4648,-152.2744,51.7,2.9,ml,29,136.799989056001,,0.41,ak,ak11171618,2014-02-27T09:12:52.585Z,"75km N of Kodiak, Alaska",earthquake
2014-02-27T00:49:53.800Z,19.1609,-64.8165,4,2.9,Md,6,298.8,0.76356799,0.09,pr,pr14058000,2014-02-27T08:52:48.340Z,"85km NNW of Road Town, British Virgin Islands",earthquake
2014-02-27T00:19:09.400Z,36.4533,-97.07,3.78,3.3,mb_lg,,175,0.725,0.47,us,usc000myuy,2014-02-27T05:43:09.901Z,"25km S of McCord, Oklahoma",earthquake
2014-02-26T23:39:32.000Z,52.3187,-169.1393,4.7,2.8,ml,11,327.599973792002,,0.82,ak,ak11174140,2014-03-02T20:58:36.199Z,"71km SSW of Nikolski, Alaska",earthquake
2014-02-26T21:13:40.600Z,53.6792,-171.8369,264.66,6.1,mwb,,43,1.923,0.78,us,usc000myqq,2014-03-02T21:09:15.040Z,"138km NNW of Amukta Island, Alaska",earthquake
2014-02-26T20:51:32.400Z,18.2092,-68.2328,97,3.1,Md,12,234,0.33417329,0.18,pr,pr14057007,2014-02-27T04:54:08.975Z,"43km ESE of Boca de Yuma, Dominican Republic",earthquake
2014-02-26T20:27:21.000Z,63.0276,-150.7509,100,2.5,ml,47,61.1999951040004,0.4698189,0.86,ak,ak11171364,2014-02-27T04:29:52.650Z,"85km NNW of Talkeetna, Alaska",earthquake
2014-02-26T19:44:37.160Z,36.5838,-97.7938,4.91,3.2,mb_lg,,95,0.171,0.52,us,usc000mym7,2014-02-27T03:47:08.216Z,"22km NNE of Enid, Oklahoma",earthquake
2014-02-26T19:30:33.510Z,36.6259,-97.7274,5.08,3.4,mb_lg,,85,0.239,0.49,us,usc000mylm,2014-02-28T19:02:20.185Z,"20km S of Medford, Oklahoma",earthquake
2014-02-26T14:59:20.000Z,54.3827,-161.5681,11.1,2.5,ml,,,,0.56,ak,ak11174104,2014-03-02T20:59:03.173Z,"116km SE of Cold Bay, Alaska",earthquake
2014-02-26T12:48:54.000Z,55.3264,-162.9865,111.3,2.8,ml,7,215.999982720001,,0.6,ak,ak11174091,2014-03-02T20:56:58.753Z,"23km NW of Cold Bay, Alaska",earthquake
2014-02-26T11:04:24.360Z,36.5119,70.6843,196.6,4.2,mb,,106,2.379,0.75,us,usc000mydu,2014-02-26T19:07:05.844Z,"41km SSW of Jarm, Afghanistan",earthquake
2014-02-26T10:45:41.140Z,38.6325,138.8665,198.27,4.4,mb,,126,2.148,0.71,us,usc000mydq,2014-02-26T18:48:09.602Z,"69km NW of Murakami, Japan",earthquake
2014-02-26T09:55:43.330Z,-26.8026,-114.1601,10,4.8,mb,,114,4.318,0.73,us,usc000mydp,2014-02-26T17:58:09.602Z,"Easter Island region",earthquake
2014-02-26T08:00:16.000Z,53.5197,-164.8277,24.7,2.7,ml,16,280.799977536002,0.780636,0.47,ak,ak11171326,2014-02-26T19:08:50.821Z,"92km SE of Akutan, Alaska",earthquake
2014-02-26T06:49:00.000Z,59.6277,-153.4634,100,2.8,ml,23,151.199987904001,0.8623827,1.82,ak,ak11171138,2014-02-26T14:51:46.883Z,"82km E of Old Iliamna, Alaska",earthquake
2014-02-26T04:23:55.600Z,38.7887,-122.7635,2.5,2.5,Md,,36,0.00898315,0.06,nc,nc72175206,2014-03-01T07:46:10.780Z,"1km NNW of The Geysers, California",earthquake
2014-02-26T04:15:34.490Z,-4.4497,125.5043,430.77,4.5,mb,,58,4.348,0.82,us,usc000mybg,2014-02-26T12:18:04.632Z,"134km WSW of Leksula, Indonesia",earthquake
2014-02-26T04:13:25.000Z,51.2062,-178.9179,22.5,2.8,ml,14,302.399975808002,0.5839049,0.66,ak,ak11171076,2014-02-26T18:47:31.788Z,"14km ESE of Amatignak Island, Alaska",earthquake
2014-02-26T04:10:15.790Z,20.2127,120.2769,9.81,4.6,mb,,126,2.651,0.66,us,usc000mybh,2014-02-26T12:12:48.323Z,"167km W of Sabtang, Philippines",earthquake
2014-02-26T04:03:52.000Z,51.2998,-178.8328,28.9,3.4,ml,14,323.999974080002,0.7258387,0.4,ak,ak11171064,2014-02-26T18:36:51.966Z,"19km ENE of Amatignak Island, Alaska",earthquake
2014-02-26T04:00:45.050Z,51.2341,-178.9393,47.07,4.9,mb,,178,1.275,1.23,us,usc000myb5,2014-03-02T21:02:45.196Z,"12km ESE of Amatignak Island, Alaska",earthquake
2014-02-26T03:56:41.000Z,51.3072,-176.2249,37.8,2.7,ml,15,241.199980704002,0.6404988,0.57,ak,ak11171060,2014-02-26T11:59:18.996Z,"70km SSE of Adak, Alaska",earthquake
2014-02-26T02:36:56.790Z,-6.7044,108.1788,231.18,4.3,mb,,130,0.919,0.98,us,usc000myal,2014-02-26T10:28:52.603Z,"9km WNW of Jatiwangi, Indonesia",earthquake
2014-02-26T02:36:00.700Z,19.1403,-66.8544,33,2.8,Md,8,288,0.71056739,0.3,pr,pr14057001,2014-02-26T10:38:38.238Z,"72km N of Hatillo, Puerto Rico",earthquake
2014-02-26T01:42:50.870Z,40.2289,21.5862,10,4.8,mb,,48,0.703,0.5,us,usc000mya3,2014-02-26T09:45:19.945Z,"5km SE of Siatista, Greece",earthquake
2014-02-26T01:18:34.510Z,-18.8054,-173.0068,17.96,4.8,mb,,152,5.009,0.48,us,usc000my9y,2014-02-26T09:21:04.291Z,"104km E of Neiafu, Tonga",earthquake
2014-02-26T00:56:48.660Z,19.4337,-109.2047,10,4.1,mb,,218,7.029,1.43,us,usc000my9k,2014-02-26T08:59:27.066Z,"200km ENE of Socorro Island, Mexico",earthquake
2014-02-26T00:55:40.180Z,14.4516,56.231,10,4.8,mb,,101,2.907,0.96,us,usc000my9m,2014-02-26T08:58:18.238Z,"Owen Fracture Zone region",earthquake
2014-02-26T00:53:26.300Z,14.4491,56.2064,10,4.8,mb,,136,2.887,1.18,us,usc000my9j,2014-02-26T08:56:04.956Z,"Owen Fracture Zone region",earthquake
2014-02-26T00:18:36.000Z,19.0848,-64.901,9,2.9,Md,4,313.2,0.73122864,0.23,pr,pr14057000,2014-02-26T08:21:12.059Z,"79km NNW of Road Town, British Virgin Islands",earthquake
2014-02-26T00:00:07.000Z,-30.679,121.187,0,4.5,mwr,,,,1.87,us,usc000my8y,2014-02-27T16:20:17.309Z,"27km WNW of Kalgoorlie, Australia",earthquake
2014-02-25T23:53:00.570Z,28.4725,-43.8291,10,4.8,mb,,124,23.255,0.92,us,usc000my8z,2014-02-26T07:55:28.418Z,"Northern Mid-Atlantic Ridge",earthquake
